source_node,target_node,number_of_removed_directed_edges,mean_removed_edge_distance_A,baseline_prediction,edge_removed_prediction,signed_output_change,absolute_output_change
29,47,2,1.9490433931350708,0.15600550174713135,0.15600457787513733,-9.238719940185547e-07,9.238719940185547e-07
6,42,2,1.9566494226455688,0.15600550174713135,0.15600459277629852,-9.08970832824707e-07,9.08970832824707e-07
6,64,2,1.9490385055541992,0.15600550174713135,0.15600460767745972,-8.940696716308594e-07,8.940696716308594e-07
14,56,2,1.9490379095077515,0.15600550174713135,0.15600460767745972,-8.940696716308594e-07,8.940696716308594e-07
14,50,2,1.9566494226455688,0.15600550174713135,0.15600460767745972,-8.940696716308594e-07,8.940696716308594e-07
8,62,2,1.9490433931350708,0.15600550174713135,0.15600460767745972,-8.940696716308594e-07,8.940696716308594e-07
22,59,2,1.9566494226455688,0.15600550174713135,0.1560048907995224,-6.109476089477539e-07,6.109476089477539e-07
34,71,2,1.9566494226455688,0.15600550174713135,0.1560048907995224,-6.109476089477539e-07,6.109476089477539e-07
18,55,2,1.9566494226455688,0.15600550174713135,0.1560049057006836,-5.960464477539062e-07,5.960464477539062e-07
18,38,2,1.9490385055541992,0.15600550174713135,0.1560049206018448,-5.811452865600586e-07,5.811452865600586e-07
22,40,2,1.9490433931350708,0.15600550174713135,0.15600493550300598,-5.662441253662109e-07,5.662441253662109e-07
34,46,2,1.9490379095077515,0.15600550174713135,0.15600493550300598,-5.662441253662109e-07,5.662441253662109e-07
27,62,2,1.9566494226455688,0.15600550174713135,0.15600602328777313,5.21540641784668e-07,5.21540641784668e-07
29,64,2,1.9566494226455688,0.15600550174713135,0.15600600838661194,5.066394805908203e-07,5.066394805908203e-07
29,43,2,1.9490385055541992,0.15600550174713135,0.15600600838661194,5.066394805908203e-07,5.066394805908203e-07
21,51,2,1.9490379095077515,0.15600550174713135,0.15600600838661194,5.066394805908203e-07,5.066394805908203e-07
27,45,2,1.9490433931350708,0.15600550174713135,0.15600600838661194,5.066394805908203e-07,5.066394805908203e-07
21,56,2,1.9566494226455688,0.15600550174713135,0.15600600838661194,5.066394805908203e-07,5.066394805908203e-07
24,44,2,1.9490385055541992,0.15600550174713135,0.1560056507587433,1.4901161193847656e-07,1.4901161193847656e-07
24,42,2,1.9490433931350708,0.15600550174713135,0.1560056507587433,1.4901161193847656e-07,1.4901161193847656e-07
32,44,2,1.9490379095077515,0.15600550174713135,0.1560056507587433,1.4901161193847656e-07,1.4901161193847656e-07
